,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,has_added_app,were_here_count,likes,talking_about_count,stock_symbol
1328,synacor,2018-07-17,5881,399,Internet,509,f,509,1111,324,
1329,synaptics,2016-06-01,11960,1338,Consumer Electronics,74,f,74,695,193,
1330,synchrony financial,2018-02-28,57649,6940,Financial Services,2011,f,0,37388,14252,SYF
1331,synopsys inc,2018-07-17,145281,12847,Computer Software,89,f,31,21609,134,SNPS
1332,syntel,2018-07-17,102791,20203,Information Technology and Services,433,f,433,28999,2678,
1333,t. rowe price,2018-07-17,58787,12247,Investment Management,1234,f,1234,168404,10290,
1334,t.o. plastics,2018-07-17,4227,2811,Packaging and Containers,20,f,20,106,33,
1335,taco bell,2018-07-17,51764,24149,Restaurants,85505,f,3041539,10551635,612201,
1336,taco cabana,2018-07-17,1827,880,Food &amp; Beverages,0,f,560159,355895,26679,
1337,tal international,2018-02-17,1342,118,Transportation/Trucking/Railroad,291,f,291,12577,2734,CRAI
1338,tandem diabetes care,2018-07-17,10521,546,Medical Devices,45,f,0,49739,5332,TNDM
1339,tandy leather,2018-07-17,4442,185,Retail,42,f,279,83406,3920,
1340,tanger outlets,2018-07-17,4024,462,Real Estate,11949,f,0,1831558,35153,
1341,taobao marketplace,2018-07-17,35779,14476,Internet,5,f,0,15716,7079,
1342,tapimmune inc,2018-07-17,456,12,Biotechnology,0,f,0,625,60,ALT
1343,target,2018-07-17,720413,130988,Retail,1,f,4236662,24273916,638029,
1344,tata motors,2018-07-17,376888,32818,Automotive,0,f,0,4040885,228177,TTM
1345,taxact,2018-02-17,3082,124,Computer Software,0,f,0,262414,25556,
1346,taylor devices,2018-07-17,277,43,Civil Engineering,9,f,9,1240,398,TAYD
1347,taylor morrison,2018-07-17,17039,1664,Real Estate,0,f,0,331936,92405,
1348,tbwa\worldwide,2018-07-17,86533,9080,Marketing and Advertising,922,f,922,76584,577,
1349,td ameritrade,2018-07-17,53750,10926,Financial Services,0,f,0,360028,55280,
1350,td ameritrade institutional,2018-07-17,12839,654,Financial Services,0,f,0,13909,1818,
1351,te connectivity,2018-07-17,197931,24242,Electrical/Electronic Manufacturing,547,f,0,52623,116072,TEL
1352,technipfmc,2018-07-17,83835,41339,Oil & Energy,1199,f,1199,30982,4180,FTI
1353,techtarget,2018-07-17,13044,880,Online Media,227,f,227,3818,101,TTGT
1354,tegna,2018-07-17,11490,1232,Broadcast Media,2,f,0,3784,749,
1355,teladoc,2018-07-17,11996,1720,Hospital & Health Care,279,f,279,33337,5178,
1356,teleflex incorporated,2018-07-17,24979,5429,Medical Devices,12345,f,0,30167,502,TFX
1357,telekomunikasi indonesia,2018-02-17,28720,6652,Information Technology and Services,0,f,0,91499,29012,TLK
1358,telenav,2018-07-17,7147,821,Internet,0,f,0,7175,168,
1359,telephonics,2018-07-17,5012,963,Aviation & Aerospace,83,f,0,246,26,
1360,telestack limited,2018-07-17,1023,60,Mechanical or Industrial Engineering,56,f,56,2170,419,
1361,teletech,2018-01-09,73151,14702,Outsourcing/Offshoring,0,f,33687,222346,99,
1362,telia & pavla bbdo,2018-07-17,287,17,Marketing and Advertising,246,f,246,3919,217,
1363,telsmith,2018-07-17,2131,120,Machinery,239,f,0,1629,326,
1364,tenet healthcare,2018-07-17,76745,30735,Hospital & Health Care,12,f,0,1054,186,
1365,teradata,2018-07-17,171769,14177,Information Technology and Services,277,f,230,18431,465,
1366,teradyne,2018-07-17,22826,3872,Semiconductors,640,f,640,1549,571,
1367,ternium,2018-07-17,51311,4887,Mining &amp; Metals,10,f,0,37492,12414,
1368,terrapass,2018-07-17,474,8,Environmental Services,0,f,0,25207,4365,
1369,terreno realty corporation,2018-07-17,341,24,Commercial Real Estate,5,f,5,31,3,TRNO
1370,tesla,2018-07-17,1982715,25154,Automotive,0,f,0,2660175,238635,
1371,tesla motors,2016-06-26,722541,8623,Automotive,0,f,0,1577502,249486,
1372,tetra tech,2018-07-17,69950,8966,Renewables & Environment,142,f,0,32868,16969,TTEK
1373,texas instruments,2018-07-17,289880,24985,Semiconductors,0,f,0,391,44,
1374,texas roadhouse,2018-07-17,25725,2810,Restaurants,7,f,20682021,2677306,76938,TXRH
1375,textron,2018-07-17,60625,17564,Aviation &amp; Aerospace,215,f,0,6640,356,
1376,textura corporation,2018-03-14,4703,333,Information Technology and Services,189,f,189,550,92,EXTN
1377,the aes corporation,2018-07-17,40998,3762,Utilities,136,f,0,8200,2648,AES
1378,"the andersons, inc.",2018-07-17,10835,1174,Food Production,0,f,0,3980,2875,ANDE
1379,the axis agency,2018-02-17,1505,33,Marketing and Advertising,152,f,152,2476,512,
1380,the bank of greene county,2018-07-17,1731,89,Banking,67,f,0,1554,476,
1381,the capital grille,2018-07-17,4040,1243,Restaurants,27,f,1642592,231719,13675,
1382,the cheesecake factory,2018-07-17,44092,9168,Restaurants,0,f,11272986,5109568,219644,CAKE
1383,the children's place,2018-07-17,66079,2143,Retail,836,f,4591,2273490,36025,
1384,the coca-cola company,2018-07-17,1725971,66756,Food &amp; Beverages,19492,f,17544,1150614,105279,KO
1385,the container store,2018-07-17,25494,2561,Retail,0,f,153411,467131,14296,
1386,the daily telegram,2018-02-17,59,45,Graphic Design,290,f,290,28500,12818,
1387,the dallas morning news,2018-02-17,11696,1068,Newspapers,5225,f,0,422514,197163,
1388,the deal,2018-07-17,3200,308,Information Services,4,f,4,326,13,
1389,the des moines register,2018-02-17,2236,328,Newspapers,925,f,0,135402,145878,
1390,the dow chemical company,2018-07-17,465734,35829,Chemicals,4209,f,0,107896,16056,
1391,the fauquier bank,2018-07-17,138,97,Banking,0,f,0,2213,82,
1392,the hartford,2018-07-17,77930,17305,Financial Services,7560,f,0,145603,19324,
