,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,were_here_count,likes,talking_about_count,stock_symbol
1564,windstream communications,2018-02-14,52531,13229,Telecommunications,403,403,2057,383,1
1565,windstream enterprise,2018-07-17,54178,13185,Telecommunications,0,0,4614,87,1
1566,winnebago,2018-02-17,3714,636,"Leisure, Travel & Tourism",326,0,21257,2344,1
1567,wipro consulting,2017-11-07,68316,1861,Management Consulting,293,0,3860,1061,1
1568,wipro limited,2018-07-17,1166950,178626,Information Technology and Services,23478,0,1476519,164563,0
1569,wisconsin bank &amp; trust,2017-02-01,504,120,Banking,86,0,1239,377,1
1570,witt o'brien's,2018-07-17,2171,269,Management Consulting,14,14,406,8,1
1571,wns global services,2018-07-17,164278,22590,Outsourcing/Offshoring,2756,0,17121,1193,1
1572,"woodward, inc.",2018-07-17,18053,3775,Aviation &amp; Aerospace,81,81,5079,7437,0
1573,workday,2018-07-17,200211,10239,Computer Software,0,0,17431,5795,1
1574,workhorse group inc.,2018-07-17,1198,112,Automotive,0,0,2654,315,0
1575,worthington industries,2018-07-17,17818,3091,Mining &amp; Metals,745,0,2119,611,0
1576,wpx energy,2018-07-17,23322,786,Oil &amp; Energy,177,140,2956,3230,0
1577,wright medical,2018-07-17,27860,2420,Medical Devices,3,0,2250,557,1
1578,wsfs bank,2018-07-17,5515,1007,Banking,79,557,8748,896,1
1579,wsi industries,2018-07-17,416,98,Defense & Space,478,478,683,91,0
1580,wwe,2018-07-17,44194,966,Entertainment,214185,0,39201249,5747010,1
1581,xcel energy,2018-07-17,48918,8867,Utilities,0,0,26319,2776,0
1582,xcerra corporation,2018-07-17,2497,287,Semiconductors,420,0,38575,177,0
1583,xilinx,2018-07-17,94582,3697,Semiconductors,379,379,21088,782,1
1584,xplore technologies,2018-07-17,3420,235,Computer Hardware,3,3,438,78,1
1585,"xpo logistics, inc.",2018-03-09,49745,8671,Logistics and Supply Chain,1228,0,33837,11886,0
1586,xulon press,2018-07-17,881,141,Publishing,18,0,12486,835,1
1587,yahoo,2018-07-17,632776,13232,Internet,53919,0,15092469,4836366,1
