,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,were_here_count,likes,talking_about_count,stock_symbol
711,jackson,2018-07-17,20581,2920,Financial Services,84,76,60144,66409,1
712,jaguar animal health,2017-07-31,771,24,Veterinary,3,3,1036,337,1
713,jaguar health,2018-07-17,918,25,Veterinary,6,6,1197,161,0
714,jakks pacific,2018-07-17,11921,1371,Consumer Goods,0,0,32317,3821,0
715,jamba juice,2018-07-17,14530,3131,Food & Beverages,162,580827,1891377,119923,1
716,jet aviation,2018-02-17,28300,2533,Aviation & Aerospace,1421,0,32471,2645,1
717,jll,2018-07-17,640313,50502,Real Estate,645,280,122603,24566,1
718,jo malone london,2018-03-12,15748,935,Cosmetics,3500,7472,1400577,197878,1
719,john deere,2018-07-17,357921,35560,Machinery,0,6987,3673508,62862,1
720,johnson controls,2018-07-17,538995,55972,Mechanical or Industrial Engineering,4981,4981,101049,3578,1
721,journeys,2018-07-17,10079,3799,Retail,0,885,1559989,51524,1
722,juniper networks,2018-07-17,300060,11250,Computer Networking,5011,0,167586,29314,0
723,just energy solar,2018-07-17,200,20,Oil & Energy,0,0,14306,3370,1
724,k. hovnanian® homes,2018-02-17,17983,2539,Real Estate,27,27,163158,7106,1
725,kadant,2018-07-17,3967,405,Machinery,7,0,679,228,1
726,kaiser aluminum,2018-07-17,12781,1509,Mining &amp; Metals,16,0,1103,33208,1
727,kaplan,2018-07-17,38868,11742,Education Management,0,0,10850,160,1
728,karyopharm therapeutics inc.,2018-07-17,4948,226,Pharmaceuticals,0,0,128,5,0
729,kayak,2018-02-17,29239,786,Internet,534,0,1865893,57017,1
730,kb home,2018-07-17,16368,2646,Real Estate,0,16646,101940,4991,0
731,kearny bank,2018-07-17,1278,256,Banking,138,415,770,170,1
732,kelly services,2018-07-17,601531,11691,Staffing and Recruiting,1421,1421,117542,3370,0
733,kennametal,2018-07-17,39623,5643,Machinery,0,0,9893,3235,0
734,ketchum,2018-07-17,59683,2115,Public Relations and Communications,900,900,18814,1286,1
735,key energy services,2018-07-17,24025,2618,Oil &amp; Energy,322,0,39797,9656,0
736,keytronicems,2018-07-17,1935,504,Electrical/Electronic Manufacturing,109,103,237,15,1
737,keyw corporation,2018-02-17,5353,722,Defense & Space,83,83,569,355,0
738,kfc,2017-08-09,34992,22074,Restaurants,218573,3561142,51635735,205723,1
739,kfor,2018-02-17,388,149,Media Production,60,0,436290,477840,1
740,kids foot locker,2018-02-17,221,177,Retail,0,447,293095,22893,1
741,kimberly-clark,2018-07-17,495662,28465,Consumer Goods,0,0,33070,36647,1
742,"kinder morgan, inc.",2018-07-17,81797,7324,Oil & Energy,1480,0,10741,595,0
743,king,2018-07-17,71461,5333,Entertainment,0,0,293097,4754,1
744,kirkland's,2018-07-17,27025,2116,Retail,111,9171,1198828,26280,1
745,kitchme,2018-03-09,14,0,Internet,0,0,753002,857578,1
746,kite realty group,2018-07-17,2081,175,Real Estate,55,0,333,75,0
747,kla-tencor,2018-07-17,80411,6632,Semiconductors,1254,1254,2092,359,1
748,knoll,2018-07-17,39291,1644,Furniture,0,2417,53155,1730,1
749,kohl's,2018-07-17,130258,36258,Retail,20334,1483297,12081586,3002460,1
750,korn ferry,2018-07-17,436825,11161,Management Consulting,450,0,25148,457,0
751,kosmos energy,2018-07-17,15212,445,Oil &amp; Energy,72,0,3139,1115,0
752,kroger,2018-07-17,149261,55123,Retail,24468,1705703,1583180,302925,1
753,"kvh industries, inc.",2018-07-17,5472,386,Telecommunications,183,183,2613,9867,0
754,la-z-boy,2017-01-24,9846,1850,Furniture,784,13677,944317,25551,1
755,la-z-boy incorporated,2018-07-17,15050,2114,Furniture,0,0,1437,135,0
756,lake city bank,2018-07-17,1342,347,Banking,57,78,1353,520,1
757,lakeland bank,2018-07-17,2082,504,Banking,53,25,4234,1961,1
758,lamar advertising company,2018-07-17,12359,3064,Marketing and Advertising,418,418,9150,135495,0
759,landmark national bank,2018-07-17,619,202,Banking,63,63,1109,363,1
760,lands'​ end,2018-02-17,23414,2762,Apparel & Fashion,176,0,1308309,23844,1
761,lane bryant,2018-03-09,22347,3838,Retail,0,18009,2627047,652103,1
762,lannett company,2018-07-17,2566,430,Pharmaceuticals,3402,0,8689,13433,0
763,las vegas motor speedway,2018-07-17,1690,125,Sports,519711,519711,168287,53829,1
764,las vegas sands corp.,2018-07-17,12571,894,Hospitality,0,0,11609,9350,0
765,lawson products,2018-07-17,12050,1919,Logistics and Supply Chain,178,178,1593,348,0
766,lcnb national bank,2018-07-17,892,182,Banking,79,0,942,1331,1
767,lee enterprises,2018-07-17,4825,1256,Newspapers,214,210,8467,219,1
768,legg mason,2018-07-17,33154,2065,Financial Services,958,958,1976,127,0
769,lehigh customfit,2018-07-17,700,66,Retail,0,0,213,105,1
770,lehigh outfitters,2018-04-06,693,65,Retail,0,0,8799,1643,1
771,leica biosystems,2018-07-17,17822,1874,Medical Devices,0,0,3174,1253,1
772,leica microsystems,2018-07-17,32880,1995,Medical Devices,4,0,7153,253,1
773,leidos,2018-07-17,131050,19161,Information Technology and Services,217,217,9295,628,1
774,lendingclub,2018-07-17,20942,1745,Internet,234,0,37820,6226,1
775,lendingtree,2018-07-17,6654,1006,Financial Services,0,0,425073,19665,0
776,lennar,2018-07-17,47641,5895,Real Estate,0,110659,1248286,35645,1
777,lennox international,2018-07-17,24159,3836,Consumer Goods,172,172,2215,111,0
778,lgi homes,2018-07-17,9282,625,Real Estate,0,0,190372,10055,1
779,"lgstx services, inc.",2018-07-17,394,168,Logistics and Supply Chain,109,109,541,343,0
780,lhc group,2018-07-17,11078,2267,Hospital & Health Care,299,298,5341,2009,0
781,liberty tax,2018-07-17,15312,7108,Accounting,114,184927,100648,5333,1
782,life storage,2018-07-17,1135,351,Consumer Services,302,4840,179549,9153,0
783,lifelock,2018-07-17,8131,643,Consumer Services,0,0,478416,40084,1
784,lifetime brands,2018-02-17,4921,717,Consumer Goods,145,145,4615,105,0
785,lifevantage corporation,2018-07-17,7273,1708,"Health, Wellness and Fitness",0,0,4973,67,0
786,lightinthebox,2018-07-17,2809,415,Retail,660,0,7883773,539518,1
787,lightpath technologies,2018-07-17,857,70,Telecommunications,49,49,1242,78,0
788,lilly pulitzer,2018-07-17,22514,817,Apparel &amp; Fashion,0,5395,1264645,51449,1
789,limbach company,2018-07-17,3034,605,Construction,232,232,2995,490,1
790,limelight networks,2018-07-17,12138,665,Internet,255,255,1793,360,0
791,lincoln electric,2018-07-17,35159,3557,Machinery,0,0,1047330,39123,1
792,lincoln financial group,2018-07-17,42362,8563,Financial Services,447,0,27477,16483,0
793,lincoln journal star,2018-07-17,1678,221,Newspapers,1946,0,91632,83214,1
794,lincoln tech,2018-07-16,420,137,Higher Education,13,95682,38190,1416,1
795,linkedin,2018-07-17,3486823,24931,Internet,2,0,1883416,136357,1
796,linx printing technologies,2018-07-17,3122,197,Printing,0,0,763,1382,1
797,"lippert components, inc.",2018-07-17,9290,1698,Automotive,329,431,62253,2325,1
798,listhub,2018-03-13,355,24,Real Estate,0,0,2665,293,1
799,"lithia motors, inc.",2018-07-17,10812,2119,Automotive,664,664,3132,415,0
800,littelfuse,2018-07-17,32553,2531,Electrical/Electronic Manufacturing,259,259,5986,2190,0
801,livanova,2018-07-17,24317,2950,Medical Devices,799,799,1351,387,0
802,live nation,2018-02-17,35889,2578,Entertainment,0,0,3564626,491613,1
803,lockheed martin,2018-07-17,679562,97319,Defense &amp; Space,0,0,556888,191086,1
804,loews hotels & co,2018-07-17,34739,2821,Hospitality,0,0,55861,2531,1
805,logility,2018-07-17,2817,229,Computer Software,15,15,319,131,1
806,logisticare,2018-07-17,4881,1700,Hospital & Health Care,29,0,1086,131,1
807,logitech,2018-07-17,83230,5743,Consumer Electronics,0,0,2981143,136651,1
808,logmein,2018-07-17,28183,3274,Computer Software,0,0,92851,1887,1
809,longhorn steakhouse,2018-07-17,9933,5504,Restaurants,0,8121208,1922526,202671,1
810,loopnet,2018-07-17,5338,348,Internet,92,92,14254,162,1
811,loyaltyone,2018-07-17,51189,1413,Marketing and Advertising,1151,0,1616,150,1
812,lpl financial,2018-07-17,46181,7265,Financial Services,0,0,16656,1024,0
813,lululemon,2018-07-17,208393,8636,Retail,0,229384,2052222,44661,1
814,lumber liquidators,2018-07-17,5586,1408,Retail,675,0,277529,71818,1
815,luxoft,2018-07-17,109737,10028,Information Technology and Services,0,0,8258,11566,1
816,lyondellbasell,2018-07-17,69719,9406,Chemicals,7,3,7684,2780,1
817,"m/i homes, inc.",2018-07-17,14863,5461,Real Estate,195,195,30943,1218,0
818,macatawa bank,2018-07-17,3127,353,Banking,82,82,1909,234,1
819,macdermid offshore solutions,2018-07-17,59,21,Chemicals,0,0,18,2,1
820,macy's,2018-07-17,335881,87669,Retail,0,3584391,14713045,693775,1
821,madison gas and electric,2018-07-17,2283,459,Utilities,346,346,2715,2184,1
822,magicjack,2018-07-17,1071,74,Telecommunications,0,0,62119,1742,1
823,magnachip semiconductor,2018-07-17,2607,286,Semiconductors,0,0,5925,207,0
824,majesco entertainment,2018-02-17,735,52,Computer Games,0,0,2143,415,1
825,makemytrip.com,2018-07-17,101239,3683,Internet,322,0,2630174,416165,1
826,makerbot®,2018-02-17,16862,235,Consumer Electronics,0,0,102536,1055,1
827,malibu boats,2018-07-17,5616,214,Shipbuilding,169,169,257246,27943,0
828,malvern federal savings bank,2017-11-01,265,81,Banking,91,0,1461,1258,1
829,manchester united,2018-07-17,68230,3854,Sports,16942,2482297,74056498,4300475,0
830,manhattan associates,2018-07-17,38816,2817,Computer Software,0,0,3073,764,0
831,mannatech incorporated,2018-07-17,6746,1389,"Health, Wellness and Fitness",325,0,20715,15111,0
832,manpowergroup,2018-07-17,906619,57980,Staffing and Recruiting,3071,3071,58286,7612,0
833,mantech,2018-07-17,39972,7758,Information Technology and Services,0,0,834683,10008,1
834,marathon petroleum corporation,2018-07-17,66103,7282,Oil &amp; Energy,1041,0,38626,4941,0
835,marchex,2018-07-17,4993,326,Internet,565,565,3907,241,1
836,marcus theatres,2018-07-17,3281,689,Entertainment,9175,4209436,272643,24740,1
837,marin software,2018-07-17,26942,563,Internet,401,4,12980,2164,1
838,marinemax,2018-07-17,4958,993,Retail,512,512,1475,424,1
839,markel,2018-07-17,17381,2282,Insurance,0,0,31328581,924698,1
840,marketwatch,2018-07-17,111860,249,Online Media,0,0,963569,107337,1
841,markit,2018-07-17,52387,3709,Information Services,273,273,2915,21,1
842,marvell semiconductor,2018-07-17,102192,5802,Semiconductors,2890,2890,1943,54,1
843,masco corporation,2018-07-17,17387,9066,Building Materials,111,111,1254,55,0
844,masimo,2018-07-17,47439,1786,Medical Devices,0,0,62500,1026,1
845,mastec network solutions,2018-07-17,13148,1887,Telecommunications,101,0,22927,635,1
846,mastercard,2018-07-17,318829,22255,Information Technology and Services,1795,0,16112500,105406,1
847,materialise,2018-07-17,20565,1257,Computer Software,600,600,18562,2418,0
848,matrix medical network,2018-07-17,5455,1050,Hospital & Health Care,97,97,557,415,1
849,matrix service company,2018-07-17,6677,723,Construction,152,152,8200,838,0
850,maxim integrated,2018-07-17,54307,6906,Semiconductors,2406,0,8041,1725,1
851,mazor robotics,2018-07-17,9150,212,Medical Devices,72,0,2441,569,1
852,mb financial bank,2018-07-17,9045,2863,Financial Services,153,104,17334,3870,1
853,"mccrometer, inc.",2018-07-17,865,117,Mechanical or Industrial Engineering,106,106,271,30,0
854,mcdermott international inc.,2018-07-17,250380,25608,Oil &amp; Energy,0,0,25073,8169,0
855,mcdonald's,2018-07-17,562235,223229,Restaurants,0,31950665,78045025,26260,1
856,mechel,2018-07-17,6672,598,Mining & Metals,61,61,1803,209,1
857,medco tool,2018-02-17,589,111,Automotive,35,35,729,18,1
858,medical doctor associates,2018-07-17,5840,689,Staffing and Recruiting,128,128,2953,281,1
859,medical staffing network,2018-07-17,12232,2610,Staffing and Recruiting,187,187,11462,3450,1
860,medidata solutions,2018-07-17,21783,1920,Computer Software,193,0,1868,278,0
861,"medifast, inc",2018-07-17,8354,1306,"Health, Wellness and Fitness",0,0,142350,3739,0
862,medpace,2018-07-17,29835,2321,Pharmaceuticals,413,413,3631,597,1
863,medstaff,2018-07-17,1325,352,Staffing and Recruiting,163,163,10601,122,1
864,men's wearhouse,2018-07-17,19673,4617,Retail,4003,311388,709113,76202,1
865,mercadolibre.com,2017-12-07,59624,3156,Internet,1,0,10937659,518227,0
866,mercer international,2018-07-17,1249,43,Paper & Forest Products,441,0,365931,99049,0
867,merck,2018-07-17,756494,83303,Pharmaceuticals,2335,2238,7295,1652,1
868,mercury insurance,2018-07-17,14193,2334,Insurance,0,0,31242,19538,1
869,mercury systems,2018-07-17,5349,1003,Computer Hardware,31,31,554,67,0
870,meritage homes,2018-07-17,20141,1701,Human Resources,0,0,72065,9459,1
871,meritor,2018-07-17,32925,4076,Automotive,154,154,125901,8711,1
872,"mesa laboratories, inc.",2018-07-17,1939,183,Medical Devices,69,69,832,18,0
873,metlife,2018-07-17,356295,51334,Insurance,2165,2165,675448,91009,1
874,metropcs,2018-02-17,15049,4576,Telecommunications,0,0,689340,207728,1
875,mgic,2018-07-17,7842,1015,Insurance,185,185,4289,298,1
876,mhelpdesk,2017-11-07,1071,79,Computer Software,398,398,7583,344,1
877,michael foods,2018-02-17,8296,869,Food Production,53,53,940,85,1
878,michael kors,2018-07-17,282851,8725,Apparel &amp; Fashion,0,339354,17859631,273871,1
879,microbot medical,2018-07-17,576,11,Medical Devices,0,0,768,136,0
880,micron technology,2018-07-17,113598,15642,Semiconductors,829,0,355055,24898,0
881,microsoft,2018-07-17,5563173,156245,Computer Software,73893,0,13412831,248165,1
882,microstrategy,2018-07-17,72003,3268,Computer Software,315,315,48837,3131,1
883,microvision inc.,2018-07-17,2199,216,Consumer Electronics,52,52,16696,4886,0
884,mid penn bank,2018-07-17,829,218,Banking,38,38,1301,517,0
885,midatech pharma plc,2018-07-17,893,88,Pharmaceuticals,3,3,49,7,0
886,middlesex water company,2018-07-17,1728,98,Utilities,44,0,917,992,0
887,midsouth bank,2018-07-17,2542,470,Banking,601,601,5751,983,0
888,midwestone bank,2018-07-17,2484,562,Financial Services,0,0,7402,865,1
889,milacron,2018-07-17,14892,1486,Machinery,572,0,3866,431,1
890,millennial media,2018-07-17,11445,272,Marketing and Advertising,1965,1965,8920,31,1
891,mind cti,2018-07-17,3329,231,Computer Software,0,0,685,136,1
892,minnesota bank &amp; trust,2017-02-01,224,37,Banking,35,35,215,43,1
893,mitek systems,2018-07-17,5722,705,Computer Software,7,5,9341,131,0
894,mitel,2018-07-17,47322,4035,Telecommunications,0,125,38938401,762548,1
895,mix telematics,2018-07-17,8167,1001,Information Technology and Services,0,0,21838,2457,0
896,mobil,2018-02-17,320,938,Executive Office,0,0,571348,121498,1
897,mobile mini inc,2017-03-01,4880,1060,Packaging and Containers,203,2046,4050,634,0
898,mobileiron,2018-07-17,27516,962,Computer Software,580,580,17406,139,0
899,moen incorporated,2018-07-17,21140,2294,Building Materials,422,0,1123,679,0
900,molecular devices,2018-07-17,12924,604,Biotechnology,145,0,1310,83,1
901,molina healthcare,2018-07-17,37729,8891,Hospital &amp; Health Care,1670,0,27943,2678,0
902,mondelēz international,2018-07-17,803784,47803,Food Production,0,0,205880,184084,0
903,mongodb,2018-07-17,54470,1160,Computer Software,0,0,164059,24233,1
904,monro muffler brake,2017-10-19,3491,1051,Automotive,1,25778,4293,798,1
905,monroe bank & trust,2018-07-17,869,226,Banking,574,574,3011,1193,0
906,monster energy,2018-07-17,58114,3377,Food &amp; Beverages,200798,0,26465904,659519,1
907,morningstar,2018-07-17,77776,5363,Financial Services,887,887,8168,831,0
908,motorcar parts of america,2018-07-17,1839,220,Automotive,0,0,916,175,0
909,motorola solutions,2018-07-17,162118,14570,Telecommunications,5196,5196,61589,4764,0
910,mountain hardwear,2018-02-17,10539,172,Sports,13,0,275619,11483,1
911,mrc global,2018-07-17,21390,3002,Oil &amp; Energy,238,363794,1010224,41488,0
912,msc industrial supply co.,2018-07-17,21523,4088,Wholesale,1,0,808,160,1
913,mts systems corporation,2018-07-17,10456,1991,Mechanical or Industrial Engineering,324,324,990,180,0
914,murphy usa,2018-07-17,9602,1906,Retail,0,161732,133018,3884,0
915,muscatine journal,2018-03-12,55,11,Newspapers,155,155,10257,4478,1
916,mutualbank,2018-07-17,940,299,Banking,363,0,2923,925,1
917,mycase,2018-07-17,1141,47,Legal Services,0,0,10958,474,1
918,myers industries,2018-07-17,2642,373,Plastics,30,0,433,36,0
919,myos rens technology inc.,2018-07-17,254,14,Biotechnology,5,5,3167,21,0
920,mypublisher,2018-02-17,192,22,Publishing,613,0,359395,822,1
921,myriad genetics,2018-07-17,15119,1612,Medical Devices,645,286,10441,6058,0
922,nabors industries,2018-07-17,63332,5551,Oil &amp; Energy,0,0,4573,324,0
923,"nanostring technologies, inc.",2018-07-17,11836,502,Biotechnology,45,0,40827,109,0
924,nasdaq,2018-07-17,89787,4149,Financial Services,29221,29221,769457,91766,1
925,"nathan's famous, inc.",2018-07-17,857,213,Restaurants,0,0,232912,38563,0
926,national american university,2018-07-17,15141,1419,Education Management,5030,5030,8157,857,1
927,national cinemedia (ncm),2018-07-17,4466,690,Marketing and Advertising,315,0,1314,180,0
928,national grid,2018-07-17,89054,10387,Utilities,10,0,162898,19239,1
929,national instruments,2018-07-17,106902,7502,Electrical/Electronic Manufacturing,5476,3982,242287,8225,0
930,national lloyds insurance company,2018-07-17,3618,128,Insurance,79,79,553,95,0
931,national oilwell varco,2018-07-17,254149,21284,Oil &amp; Energy,1006,313,22491,2619,0
932,nationstar mortgage,2018-07-17,30758,4318,Financial Services,3842,0,24759,4203,1
933,"natural alternatives international, inc.",2018-07-17,1017,131,Pharmaceuticals,13,13,122,4,0
934,natuzzi,2018-07-17,20692,1179,Furniture,0,520,759914,117279,1
935,nautilus inc.,2018-07-17,5624,827,"Health, Wellness and Fitness",69,69,1995,184,1
936,navigant,2018-07-17,49166,3837,Management Consulting,0,0,851,260,1
937,navistar inc,2018-07-17,52387,7658,Transportation/Trucking/Railroad,0,0,6585,51,0
938,ncr corporation,2018-07-17,221428,31429,Information Technology and Services,1018,1018,115868,15727,0
939,nelnet,2018-07-17,7733,1687,Information Technology and Services,1362,0,192708,2068,1
940,neogen corporation,2018-07-17,7215,811,Biotechnology,9230,9230,3026,1472,0
941,neptune wellness solutions,2018-07-17,1128,73,"Health, Wellness and Fitness",0,0,6210,106,0
942,net element,2018-07-17,1158,56,Information Technology and Services,73,73,2728,705,0
943,netapp,2018-07-17,384653,13622,Information Technology and Services,617,0,36327,2113,1
944,netflix,2018-07-17,879654,4982,Entertainment,0,0,48638501,1722033,1
945,netgear,2018-07-17,20272,1450,Computer Networking,0,0,558990,10133,1
946,netscout,2018-07-17,25991,3133,Computer Networking,157,157,8389,1758,1
947,nevada state bank,2018-07-17,1992,553,Banking,191,1919,20883,426,1
948,new mexico bank &amp; trust,2017-02-01,560,108,Banking,150,0,571,172,1
949,new york &amp; company,2017-01-21,26531,2420,Retail,13,37614,1039254,53944,1
950,newall rubbermaid,2018-02-17,27,9,Information Technology and Services,293,0,9539,1420,1
951,newell brands,2018-07-17,148683,12163,Consumer Goods,290,0,23314,1753,0
952,newmont mining corporation,2018-07-17,102956,5771,Mining &amp; Metals,618,438,35413,7952,0
953,news corp,2018-07-17,37648,6060,Online Media,3512,0,3764,117,1
954,nexperia,2017-11-07,3688,839,Semiconductors,0,0,7127861,54253,1
955,nextera energy resources,2018-07-17,40411,3919,Renewables &amp; Environment,0,0,2010,82,1
956,nice incontact,2018-07-17,13942,1279,Computer Software,595,595,4293,483,1
957,nicolet national bank,2018-07-17,3698,342,Banking,248,248,2836,595,1
958,nielsen,2018-07-17,478769,38644,Information Services,3124,1398,278839,4307,1
959,nielsen latinoamérica,2016-01-07,237775,26390,Information Services,85,0,425,11,1
960,nike,2018-07-17,1500466,76471,Sporting Goods,99860,161839,31495323,1085958,1
961,nisource,2018-07-17,21570,5222,Utilities,0,0,3396,218,0
962,nokia,2018-07-17,732269,169036,Telecommunications,1272,0,13486642,113639,1
963,noodles &amp; company,2017-02-01,10179,2245,Restaurants,0,672665,941171,90961,0
964,norcraft companies,2018-07-17,1410,207,Building Materials,4,4,81,13,1
965,nordson adhesive dispensing systems,2018-03-09,1301,109,Machinery,24,0,3085,892,1
966,nordstrom,2018-07-17,295386,40503,Retail,1,1412495,5013604,706461,1
967,north american construction group,2018-07-17,6442,619,Mining &amp; Metals,18,18,2708,757,0
968,north american title,2018-07-17,6614,1550,Real Estate,373,0,1571,71,1
969,northrim bank,2018-07-17,483,187,Banking,201,201,711,369,1
970,northrop grumman,2018-07-17,402431,75670,Defense & Space,6066,0,193240,54549,1
971,northwest bank,2018-07-17,3558,1128,Banking,65,65,964,85,0
972,norwegian cruise line,2017-07-10,69977,6589,"Leisure, Travel &amp; Tourism",154662,0,2399748,118817,1
973,novartis,2018-07-17,1305494,122228,Pharmaceuticals,0,0,321770,132866,0
974,novo nordisk,2018-07-17,566344,35806,Pharmaceuticals,2467,0,525464,197458,0
975,novus biologicals llc,2018-07-17,1841,68,Biotechnology,34,0,5128,295,1
976,nowcommunity,2018-03-23,2564,0,Information Technology and Services,0,199,161380,18132,1
977,nrg systems,2018-07-17,3032,119,Renewables & Environment,0,0,1025,84,1
978,ntelos wireless,2018-02-17,2529,553,Telecommunications,945,946,47350,107,1
979,"nurtur health, inc.",2017-11-07,1630,169,"Health, Wellness and Fitness",0,0,102,23,0
980,nustar energy l.p.,2018-07-17,18019,1373,Oil & Energy,0,0,1290,389,0
981,nutanix,2018-07-17,107095,4031,Computer Software,1764,1764,47629,3920,1
982,nutrien,2018-07-17,6377,4167,Chemicals,0,0,2357,1216,1
983,"nutrisystem, inc.",2018-07-17,4831,468,"Health, Wellness and Fitness",0,0,311506,24899,0
984,nuvasive,2018-07-17,45717,2487,Medical Devices,1114,1114,12339,520,1
985,nve corporation,2018-02-17,275,28,Semiconductors,14,64,8138,6838,0
986,nvidia,2018-07-17,295948,14191,Computer Hardware,0,0,2234333,110464,1
987,nyse,2018-07-17,62866,1149,Financial Services,146323,146323,239648,16644,1
988,o'reilly auto parts,2018-07-17,34636,9754,Retail,0,670851,664097,73233,1
989,oak valley community bank,2018-07-17,235,107,Banking,59,0,397,157,0
990,oasmia pharmaceutical ab,2018-07-17,612,57,Pharmaceuticals,39,39,238,31,0
991,oceaneering,2018-07-17,146125,10203,Oil &amp; Energy,13,13,20898,1865,1
992,oceanfirst bank,2018-07-17,1742,489,Banking,155,155,5379,5519,0
993,office depot,2018-07-17,82203,30605,Business Supplies and Equipment,0,201268,1130766,168175,0
994,ohio valley bank,2018-07-17,799,136,Banking,380,380,2149,1530,0
995,old dominion freight line,2018-07-17,24645,3996,Transportation/Trucking/Railroad,1846,0,203010,9913,0
996,old national bank,2018-07-17,6227,2308,Banking,413,1178,20467,2542,0
997,old navy,2018-03-09,74789,17991,Retail,103489,699367,10087788,341980,1
998,old republic title,2018-07-17,13227,2961,Real Estate,4128,8959,120930,8052,1
999,oldcastle,2018-07-17,28419,9194,Building Materials,0,0,4653,206,1
1000,olive garden,2018-07-17,18654,16205,Restaurants,0,27193375,6689407,260586,1
1001,oliver wyman,2018-07-17,193697,5108,Management Consulting,52,52,12233,396,1
1002,"ollie's bargain outlet, inc.",2018-07-17,4150,1306,Retail,78,39490,121956,13555,0
1003,olympic steel,2018-07-17,6657,587,Mining & Metals,640,0,628,89,0
1004,omeros corporation,2018-07-17,2885,186,Biotechnology,3,3,3156,6,0
1005,omnicell,2018-07-17,9855,2200,Medical Devices,161,161,1252,227,1
1006,on semiconductor,2018-07-17,66485,9891,Semiconductors,626,626,9757,627,0
1007,oncolytics biotech inc.,2018-07-17,1065,28,Biotechnology,7,7,758,74,0
1008,oneok,2018-07-17,24451,2277,Oil &amp; Energy,1041,1041,4086,917,1
1009,"ooma, inc.",2018-07-17,11928,303,Telecommunications,40,0,42059,1737,0
1010,opentable,2018-07-17,30371,1908,Internet,0,0,243511,8265,1
1011,opentext,2018-07-17,98497,10510,Computer Software,0,0,17327,4219,1
1012,"opgen, inc.",2018-07-17,942,94,Biotechnology,3,3,5564,77,0
1013,opower,2018-02-17,19021,398,Computer Software,971,971,6064,252,1
1014,opportunity bank of montana,2018-07-17,233,92,Banking,36,36,1043,407,1
1015,optenet / allot communications,2018-02-17,3975,80,Information Technology and Services,111,111,1666,2535,1
1016,optimumbank,2018-07-17,127,23,Banking,5536,0,127557,10994,1
1017,optometrics corporation,2018-07-17,155,39,Nanotechnology,0,0,208,170,0
1018,oracle,2018-07-17,2802333,165705,Information Technology and Services,29049,0,2987975,631131,1
1019,orange,2018-07-17,391339,123306,Telecommunications,2499,44744,27533444,193083,0
1020,orbcomm,2018-07-17,7741,714,Wireless,44,44,6693,45213,1
1021,orbotech,2018-07-17,8998,1549,Electrical/Electronic Manufacturing,1,0,4694,1006,1
1022,orchard supply hardware,2018-02-17,6009,1348,Retail,389,48167,176401,17753,1
1023,oriental,2018-07-17,2462,486,Financial Services,35,35,153137,9488,1
1024,oritani bank,2018-07-17,2948,213,Banking,0,0,125,108,1
1025,orrstown bank,2018-07-17,1060,293,Banking,0,0,1855,599,0
1026,oshkosh corporation,2018-07-17,32325,6772,Automotive,581,0,8861,3006,0
1027,otelco,2018-07-17,605,138,Telecommunications,21,5,657,86,1
1028,ott communications,2018-01-09,508,107,Telecommunications,0,0,543,170,0
1029,outfront media,2018-07-17,17361,2088,Marketing and Advertising,593,593,7684,8137,0
1030,ovascience,2018-07-17,2394,128,Biotechnology,0,0,6692,653,1
1031,overstock.com,2018-07-17,14860,1802,Internet,0,0,1662947,72730,0
1032,owens & minor,2018-07-17,20529,2852,Logistics and Supply Chain,458,458,476,94,0
1033,owens corning,2018-07-17,56343,7750,Building Materials,3,0,6585,1240,0
1034,owners direct,2018-02-17,613,108,Internet,0,0,57237,356,1
1035,oxiteno,2018-07-17,60552,1537,Chemicals,534,0,7178,1768,1
1036,paccar,2018-07-17,41437,9176,Automotive,56,56,22831,1964,1
1037,pacific gas and electric company,2018-07-17,97788,16796,Utilities,8958,0,160569,14870,0
1038,palo alto networks,2018-07-17,137363,5516,Computer &amp; Network Security,2826,2826,21453,1074,0
1039,pam transport,2018-07-17,1586,808,Transportation/Trucking/Railroad,575,304,10010,1679,1
1040,pan american silver corp.,2018-07-17,11089,698,Mining &amp; Metals,30,30,1240,194,0
1041,pandora,2018-07-17,127550,3109,Internet,1,0,7477759,363105,1
1042,parker hannifin,2018-07-17,153769,22756,Mechanical or Industrial Engineering,828,828,9737,879,1
1043,paychex,2018-07-17,60475,14324,Human Resources,1050,220,15913,1637,1
1044,paycom,2018-07-17,49248,2449,Computer Software,1233,1233,20648,3827,1
1045,paylocity,2018-07-17,24974,2244,Human Resources,0,1525,2080141,71899,1
1046,payonline,2018-07-17,1465,46,Financial Services,28,28,815,97,1
1047,paypal,2018-07-17,307072,22826,Internet,0,0,5913042,102692,1
1048,pcm,2017-03-10,20440,3277,Information Technology and Services,1898,1469,26586,111,1
1049,pearson,2018-07-17,192026,31391,Education Management,0,0,945525,34219,1
1050,"pegasus legal funding, llc",2018-07-17,60,7,Financial Services,8,0,19,2,1
1051,pegasystems,2018-07-17,137143,3886,Computer Software,133,121,19119,10729,0
1052,pentair,2018-07-17,148399,6032,Mechanical or Industrial Engineering,0,0,16295,71,1
1053,people's united bank,2016-12-20,8638,3632,Financial Services,0,4410,3234,401,1
1054,peopleready,2018-07-17,5819,1191,Staffing and Recruiting,403,4132,7889,638,1
1055,peoples bank,2018-07-17,3989,857,Financial Services,46,82,2178,951,0
